age,credit_score,loan_amount,loan_term_months,employment_length_years,annual_income,debt_to_income_ratio,open_accounts,delinquency_history,loan_default
65,558,43658.34,48,22,41876.22,0.09,11,0,1
42,816,12701.01,48,0,128737.49,0.41,4,0,0
57,353,23110.73,60,24,91358.25,0.52,3,2,0
62,346,49264.49,36,1,44595.45,0.58,14,0,1
18,820,38828.61,12,29,113649.92,0.38,7,0,0
33,398,2331.2,12,2,86444.77,0.12,5,0,0
56,319,4195.02,48,20,98560.69,0.07,2,0,1
22,789,23732.64,60,24,79916.78,0.49,2,0,1
39,718,45551.79,12,19,127732.17,0.35,11,1,0
46,361,27396.39,12,21,127843.15,0.37,6,0,1
20,444,25392.81,36,20,112220.55,0.47,8,0,1
29,515,6168.21,24,32,33702.18,0.42,1,1,1
43,302,33182.23,48,37,129051.0,0.5,11,1,1
33,459,41283.05,48,14,107231.69,0.04,6,1,1
68,419,19640.58,24,14,110613.14,0.45,12,1,1
54,388,39004.98,12,24,67187.77,0.51,2,0,1
39,628,48259.36,36,20,134306.34,0.18,2,0,1
46,656,10984.56,36,23,114298.31,0.39,7,1,0
31,566,26643.15,48,4,34636.76,0.2,10,1,1
45,622,15069.76,36,5,73011.14,0.58,1,0,0
22,840,39849.87,24,22,135229.45,0.03,6,0,1
64,494,29302.07,12,3,26135.57,0.35,14,0,0
66,631,32094.54,24,26,144984.16,0.11,7,0,0
47,469,40097.79,60,17,108291.13,0.43,14,0,1
63,820,20402.55,48,20,102078.88,0.11,8,1,0
69,762,45839.41,36,27,55172.7,0.15,7,1,0
22,339,27118.41,60,34,52342.93,0.3,6,1,1
29,836,8739.79,36,21,142467.57,0.55,9,0,1
33,560,35099.06,12,39,58775.42,0.13,13,0,1
43,694,39869.81,12,22,120815.69,0.1,3,0,0
43,525,16521.32,12,2,71105.83,0.46,11,1,0
65,423,43001.78,36,39,38103.03,0.31,6,0,0
38,337,45401.02,60,9,21392.99,0.55,4,1,1
56,627,14568.32,12,24,90753.45,0.1,2,1,0
53,550,49192.55,60,7,146851.25,0.39,1,1,1
50,475,7894.86,36,10,67987.71,0.15,12,0,0
47,753,10898.77,60,4,66435.0,0.1,12,0,0
54,336,10027.02,36,36,64731.91,0.41,14,1,0
40,615,44805.5,36,37,87670.7,0.36,1,0,0
27,413,33060.34,48,28,77286.43,0.46,11,1,1
22,339,8453.11,36,4,134388.9,0.19,10,2,0
53,600,22575.85,36,8,85717.7,0.27,3,0,0
51,523,31149.6,24,1,86008.52,0.25,4,1,1
69,617,5089.74,12,0,37988.31,0.59,2,0,0
48,648,44238.4,48,39,147756.14,0.18,13,0,0
27,414,40376.57,48,29,52496.48,0.18,12,1,1
36,622,25755.13,48,10,29537.33,0.22,11,0,0
49,339,48389.2,24,27,106209.01,0.34,11,0,1
18,339,21470.29,36,11,97397.63,0.16,14,0,0
22,588,49221.41,12,38,73968.94,0.55,11,1,1
62,561,33728.08,60,25,74884.99,0.17,1,1,1
21,515,32098.89,36,12,122058.31,0.54,4,0,1
33,446,9131.79,24,7,45442.64,0.07,7,1,0
41,635,44214.46,36,27,126632.93,0.4,10,0,0
33,467,21946.99,36,29,104337.12,0.55,11,0,1
19,391,8949.44,24,8,74466.07,0.11,6,0,0
66,652,1617.77,48,38,79543.72,0.58,6,0,0
45,662,28428.03,48,30,53364.14,0.28,11,1,0
49,644,26842.58,12,20,117774.86,0.57,9,1,1
44,469,36248.33,12,33,86673.72,0.41,14,0,1
37,655,44622.64,48,30,61711.09,0.19,2,0,1
41,490,4890.92,60,24,97486.52,0.12,4,0,1
29,721,36843.33,36,11,149445.48,0.19,5,0,0
67,306,10183.19,60,0,76584.1,0.06,1,0,0
52,432,43050.68,36,21,139689.88,0.09,8,1,1
50,330,41134.11,48,39,64852.19,0.07,8,0,1
50,834,27498.89,12,36,27115.25,0.26,6,1,0
68,725,35801.9,12,0,46551.47,0.48,12,1,0
60,693,16403.16,60,0,74430.37,0.09,5,1,0
54,662,24087.23,12,20,48552.54,0.09,8,1,0
29,736,41260.21,48,14,20029.51,0.39,3,1,0
20,381,23503.99,60,16,138950.2,0.13,3,0,1
18,655,18532.12,36,21,129704.32,0.07,2,0,0
50,557,25216.41,12,37,116497.99,0.11,5,0,1
57,823,41584.21,24,34,41815.9,0.56,3,1,1
27,594,17425.19,12,15,35647.26,0.49,3,1,1
60,523,9514.32,36,7,28788.62,0.22,6,1,0
61,824,35888.69,60,16,114123.79,0.4,8,2,0
46,345,41472.93,36,16,140745.03,0.33,2,1,1
30,412,5931.24,24,25,75969.66,0.41,4,0,1
29,532,12753.83,48,12,35488.29,0.41,11,0,0
48,316,7956.63,12,16,86611.07,0.38,7,0,0
63,659,18049.13,60,37,65348.15,0.17,1,1,0
19,522,23067.2,48,16,68727.24,0.03,1,0,0
68,747,37692.49,36,13,100772.98,0.28,12,0,1
67,664,32906.23,60,5,113433.35,0.54,13,2,1
52,625,31425.5,48,34,34378.47,0.35,10,1,0
40,766,18266.37,60,13,24626.73,0.5,7,0,1
34,713,42230.93,24,7,149262.94,0.6,14,0,1
43,754,24093.07,24,14,50254.69,0.11,7,0,0
25,532,48976.14,12,26,26997.97,0.42,1,1,1
46,523,32072.96,12,12,44683.79,0.41,1,1,1
43,711,7186.97,24,30,25064.52,0.59,4,0,0
27,634,34132.7,60,34,70935.42,0.59,5,0,0
43,521,16930.1,24,5,124312.23,0.42,5,2,1
51,336,34630.03,12,4,64361.78,0.15,4,0,0
68,577,4412.42,24,21,77743.84,0.48,8,1,0
58,495,9569.19,24,22,107826.28,0.07,7,0,0
24,783,42931.13,60,24,86156.23,0.47,9,1,1
21,541,12131.8,48,33,131987.94,0.55,7,1,0
67,623,42015.02,12,25,132584.64,0.24,10,0,0
62,491,14684.53,60,4,21288.39,0.38,1,1,0
28,316,32501.21,24,25,121146.02,0.26,13,1,1
46,823,35013.38,24,19,79895.37,0.27,14,1,0
53,700,26120.08,48,5,148549.27,0.19,7,0,0
42,321,15960.22,12,5,82820.17,0.46,1,0,1
38,773,11419.57,12,17,148296.47,0.56,7,0,1
53,419,2626.28,36,3,118094.02,0.57,10,1,1
27,509,15893.37,12,16,52318.63,0.11,8,0,0
54,605,33004.98,48,13,89991.35,0.53,11,0,0
26,569,46976.94,36,13,148977.63,0.45,9,0,1
41,584,43689.02,36,12,131478.98,0.16,12,2,0
52,526,38537.17,24,6,32657.7,0.05,3,1,1
66,680,39633.92,24,14,111828.36,0.17,4,0,1
52,759,33584.26,12,18,64925.35,0.55,4,1,1
65,306,13754.06,36,34,20907.69,0.38,12,1,0
53,328,45452.56,24,16,72452.53,0.44,9,0,1
35,332,33865.88,48,34,50518.07,0.16,13,2,1
66,378,28461.59,24,18,126453.01,0.43,7,0,1
56,758,6438.48,24,19,63852.98,0.03,3,0,0
49,837,22905.72,36,35,127578.08,0.23,10,2,0
41,781,23557.56,36,34,20077.73,0.38,5,0,0
40,729,43363.62,60,31,60016.49,0.1,7,1,0
49,584,27785.76,48,39,51351.48,0.5,8,0,1
54,815,19639.63,36,23,50363.76,0.15,1,0,0
29,398,48863.22,12,16,28864.26,0.39,12,0,1
66,696,6425.31,48,6,44326.16,0.25,2,0,0
30,788,21704.87,48,0,92221.44,0.36,7,0,0
40,338,3059.21,36,34,57876.94,0.07,11,0,0
42,570,37255.3,48,31,74261.32,0.02,13,1,1
52,456,45985.75,36,35,68992.69,0.55,14,0,1
58,374,14721.83,24,12,133867.64,0.17,13,0,0
47,429,43058.74,60,5,137688.87,0.49,2,0,1
34,383,15318.69,24,13,84084.41,0.6,7,0,1
66,321,45627.74,36,36,62920.27,0.13,9,0,1
37,758,37944.13,36,14,33884.09,0.17,11,0,0
65,838,40440.43,24,3,143942.37,0.4,2,2,0
42,681,1882.32,12,39,27829.5,0.58,7,1,0
39,739,48177.71,12,15,58694.54,0.55,4,0,0
30,320,36606.88,12,27,58748.61,0.31,11,1,1
36,602,15932.8,36,15,61652.17,0.48,13,1,1
66,383,41640.34,48,3,41357.29,0.09,2,0,1
53,752,14794.54,36,25,121810.99,0.59,13,0,0
29,686,43764.94,48,27,35924.72,0.58,7,0,1
58,806,6516.44,24,31,102537.87,0.11,13,1,0
36,556,35480.61,60,1,36099.98,0.19,5,1,1
29,826,27494.23,48,30,29169.63,0.07,1,1,0
26,461,5730.19,12,2,138225.84,0.17,5,1,1
24,462,12852.8,36,7,44716.74,0.49,12,0,1
45,823,1607.8,24,23,126762.52,0.23,12,0,0
31,570,23969.63,12,14,90802.01,0.06,3,2,0
48,791,15762.0,24,30,30121.35,0.21,7,0,0
69,507,30319.52,60,8,144208.26,0.59,6,1,1
36,838,15564.65,36,38,52104.95,0.38,8,1,0
64,359,15696.04,36,1,131753.89,0.26,13,0,0
33,729,37416.47,60,7,41945.3,0.11,5,1,0
22,608,3359.0,36,6,131012.57,0.59,2,0,1
52,819,45241.85,48,38,21719.75,0.49,9,0,1
29,326,42760.93,24,15,86531.46,0.18,14,1,1
42,498,33722.43,12,34,120027.54,0.05,11,1,0
69,686,30067.86,60,29,141523.42,0.04,8,0,0
38,648,44722.82,48,9,138196.28,0.08,6,2,0
53,835,10081.18,12,37,126551.23,0.35,13,1,0
40,677,4869.49,12,17,135464.88,0.56,10,0,0
33,826,12736.0,60,4,45898.56,0.3,7,2,0
56,452,39934.34,48,28,56943.96,0.51,9,0,1
62,505,2698.84,12,38,57565.91,0.27,7,0,0
59,754,29557.53,12,33,69017.01,0.43,3,0,0
56,572,49776.44,48,22,71131.69,0.44,6,0,1
31,535,42929.11,36,4,90792.19,0.11,11,1,1
48,820,26550.84,12,29,40784.37,0.22,13,1,0
22,800,4118.4,24,5,109862.07,0.39,11,0,0
52,416,41737.3,48,3,41783.65,0.05,7,0,1
40,685,30349.95,12,28,60340.1,0.22,2,0,0
46,643,6631.72,60,22,85434.87,0.33,3,0,0
60,694,5599.01,24,5,123537.27,0.6,4,1,0
28,363,45571.71,12,31,116131.0,0.29,10,1,0
35,371,33790.81,24,17,103919.47,0.49,6,1,1
64,573,41635.05,24,14,40250.52,0.26,1,1,0
29,619,44069.97,36,39,91115.89,0.48,9,2,1
26,637,29016.85,24,31,31368.05,0.36,5,0,1
27,665,26354.87,36,8,69057.21,0.53,13,0,1
61,794,22090.94,48,36,73757.15,0.25,12,1,0
34,465,16530.38,36,9,25175.49,0.37,14,0,0
55,843,22295.2,60,19,55618.45,0.38,7,0,0
24,310,38920.1,12,5,144234.43,0.26,9,0,1
63,600,30494.25,48,2,143972.24,0.1,9,1,0
30,401,44733.64,48,10,65802.52,0.07,1,1,1
57,724,22725.62,60,16,25603.01,0.02,1,0,0
59,691,30747.39,36,31,43282.34,0.53,3,1,1
26,513,31934.07,12,3,70988.31,0.15,6,0,0
67,387,29993.16,36,3,143211.36,0.13,2,0,0
44,700,35429.05,24,16,38355.88,0.44,10,1,0
19,345,12634.24,36,18,119257.06,0.2,12,0,1
22,762,26105.83,48,4,34128.73,0.31,11,0,0
46,609,6107.02,12,31,147563.49,0.11,1,0,0
54,385,19841.06,36,21,69610.14,0.58,1,1,1
55,391,24895.69,12,5,120780.49,0.51,13,1,0
36,541,32958.99,12,34,64536.84,0.52,5,1,1
25,301,47576.02,24,21,101596.95,0.25,4,0,1
65,524,30431.9,24,0,44962.09,0.46,1,0,1
62,415,37436.1,48,19,38982.73,0.09,4,1,1
18,402,25807.04,60,21,141948.34,0.02,3,2,1
39,493,32071.1,12,10,139294.15,0.02,2,1,1
69,465,4475.68,60,12,135370.96,0.36,9,0,0
34,389,13465.19,48,2,101306.35,0.28,14,1,1
24,421,18730.8,12,8,125074.87,0.32,11,1,0
42,442,24152.17,12,11,28974.8,0.01,1,0,1
62,405,3236.79,60,22,63522.58,0.26,7,0,1
21,727,7861.18,36,13,60781.41,0.43,14,1,1
53,604,14563.9,24,32,102633.89,0.27,13,1,0
23,616,48605.1,36,17,66274.51,0.44,4,0,1
48,308,17236.0,60,8,39305.88,0.15,5,0,0
36,372,24620.01,24,22,97540.72,0.49,10,0,1
61,658,10608.79,36,9,125869.91,0.36,5,0,0
56,522,30928.22,24,18,69676.05,0.13,1,2,0
44,715,14753.48,12,4,37194.93,0.15,6,0,0
27,669,11142.64,36,22,45569.47,0.38,13,0,0
43,563,26312.06,24,29,50872.83,0.5,9,1,1
36,617,1269.78,24,24,58986.69,0.26,2,1,0
56,383,1375.54,24,27,103563.36,0.16,7,0,0
20,617,11734.37,36,33,98122.91,0.52,6,1,0
62,410,2799.35,48,24,110490.38,0.4,5,0,0
30,550,6293.26,36,9,67125.26,0.27,4,0,1
67,682,17604.17,60,13,127119.69,0.3,4,0,0
45,306,40326.7,36,29,46531.4,0.13,6,0,1
37,758,29030.38,24,24,80975.3,0.38,4,1,0
45,383,26120.72,12,13,124122.03,0.22,5,0,1
25,507,15380.95,36,34,43420.62,0.6,13,1,1
58,689,46655.93,36,33,34282.2,0.29,6,0,1
56,613,20453.74,24,9,134878.92,0.3,5,0,0
18,321,5267.55,12,34,64580.86,0.34,7,0,0
20,709,31236.26,12,10,108903.12,0.55,9,0,1
30,814,6578.08,60,10,23295.32,0.48,10,1,0
45,426,17915.93,36,20,109706.1,0.28,7,0,0
66,313,25863.18,12,20,61093.17,0.43,7,0,1
42,311,43836.9,12,21,27246.31,0.36,4,2,1
50,386,25183.78,48,6,99275.66,0.3,1,0,1
55,823,35410.68,48,16,51304.5,0.12,14,0,0
23,836,49648.03,12,1,70284.94,0.28,8,0,1
61,600,7442.97,60,11,30475.51,0.16,4,0,0
62,542,14461.84,12,17,39131.22,0.55,1,0,1
49,421,20334.23,24,10,58737.04,0.21,5,0,0
62,446,21669.58,36,15,31668.74,0.57,14,0,0
64,655,21140.03,60,17,138407.41,0.32,14,0,0
38,608,45472.94,24,34,20786.12,0.38,8,2,0
33,587,35987.6,60,25,82901.83,0.33,4,0,1
38,606,30787.36,24,15,36022.17,0.09,13,0,0
28,848,16159.26,36,5,59998.28,0.23,12,0,0
54,651,41365.73,36,11,140387.74,0.07,8,1,1
53,611,47797.97,48,12,41020.29,0.38,8,2,0
52,358,41238.72,24,3,145558.2,0.27,3,0,0
36,334,1076.69,48,38,46753.27,0.47,9,0,0
37,744,32183.67,24,1,116403.59,0.14,3,0,1
35,392,3505.63,48,25,91068.04,0.11,1,0,0
64,506,13622.75,36,26,134982.23,0.25,2,0,0
58,652,3916.71,60,26,92019.12,0.56,6,1,0
66,631,30585.98,48,14,89492.7,0.43,12,0,0
31,458,34642.91,24,7,45409.54,0.26,10,0,1
32,323,6609.89,24,6,41609.82,0.32,2,1,0
48,703,19808.11,36,39,139143.59,0.06,6,1,0
18,815,23355.59,24,11,62618.97,0.59,14,0,0
20,663,19083.6,12,12,68370.69,0.4,1,0,0
33,681,6930.23,60,16,118777.08,0.18,11,0,0
40,831,21528.44,48,16,64047.05,0.36,13,1,0
28,451,37807.72,60,35,143768.12,0.07,1,1,0
29,719,4479.38,36,20,115930.61,0.58,5,0,0
27,549,4928.82,48,7,97665.8,0.11,10,0,0
49,416,18383.79,48,4,134516.37,0.39,13,0,0
33,811,47144.56,12,25,26448.77,0.15,11,1,0
25,634,33760.06,36,15,53418.15,0.43,9,0,1
55,717,34254.83,24,35,80454.72,0.47,14,0,1
29,594,18734.08,12,27,49507.21,0.41,8,0,1
41,670,30089.38,12,28,116707.67,0.37,3,0,1
45,485,1496.43,60,11,139497.04,0.54,3,0,1
25,545,32168.71,60,36,75090.12,0.06,1,0,1
45,567,45751.06,60,29,64477.24,0.21,14,0,1
53,536,31016.1,12,22,145001.6,0.16,3,0,1
43,829,43811.23,24,15,77830.82,0.59,14,0,1
25,320,36474.68,48,13,83576.29,0.24,12,0,1
67,819,6907.36,60,9,65714.48,0.44,12,1,0
45,399,45220.21,24,6,138241.3,0.41,12,1,1
45,777,4255.75,36,36,93964.21,0.14,13,0,0
54,597,27164.41,60,28,119082.7,0.15,11,0,0
58,825,7964.72,48,2,125534.87,0.18,1,0,0
53,633,1573.62,36,14,64440.38,0.25,8,1,0
44,301,21679.68,36,35,76380.26,0.15,1,2,1
34,674,15456.99,48,18,130301.33,0.02,5,0,0
26,592,24814.02,60,12,67223.2,0.53,9,1,1
50,617,29282.79,12,20,123211.57,0.58,7,1,1
37,801,3143.21,48,36,142329.0,0.21,4,0,0
30,680,7027.16,48,26,101017.35,0.21,11,0,0
45,313,28373.48,48,28,116411.55,0.01,9,0,1
65,803,17815.2,36,19,124662.65,0.41,9,1,1
46,530,36729.5,24,24,129855.15,0.5,2,1,1
30,383,32962.29,12,5,71356.93,0.1,10,0,1
63,429,42434.61,60,35,26664.25,0.1,10,0,1
52,444,34932.15,60,1,72243.92,0.48,11,0,1
23,327,22066.62,24,21,107588.31,0.37,12,0,0
35,365,33975.36,48,31,78545.55,0.04,6,0,1
68,462,14493.68,12,15,117365.21,0.38,4,1,0
22,528,16009.36,60,17,66407.72,0.19,8,0,0
64,560,39660.27,60,4,102516.74,0.23,12,1,1
42,748,22874.56,48,35,44234.57,0.46,11,0,1
19,723,40120.64,24,29,117418.03,0.49,7,0,1
27,759,41298.7,12,18,90940.48,0.25,7,1,1
47,600,43020.55,24,22,46528.37,0.57,11,0,0
67,602,45915.13,24,33,57948.45,0.25,10,0,0
62,586,22118.28,12,12,117319.13,0.47,9,1,0
22,694,16624.47,12,28,82738.16,0.3,13,1,0
50,309,29527.74,60,35,48084.09,0.54,5,1,1
18,569,19187.45,60,21,145745.25,0.55,6,0,1
35,660,30452.63,12,35,112966.25,0.06,1,1,0
49,556,35573.71,36,8,144427.53,0.56,6,0,1
64,432,34731.85,60,38,75523.66,0.5,2,0,1
66,575,19353.09,36,18,81763.04,0.48,6,0,1
28,812,9176.15,12,37,136734.18,0.13,9,0,0
38,612,22095.94,60,5,88256.41,0.49,8,1,0
43,583,7987.11,24,14,111946.26,0.51,9,0,1
42,420,44614.75,12,19,52782.47,0.18,13,0,1
39,406,17948.0,48,8,78074.44,0.57,10,1,1
44,503,8568.53,36,31,36048.48,0.04,8,0,0
66,464,2246.94,12,3,46777.4,0.1,3,0,0
30,604,32645.3,12,17,20122.64,0.33,8,1,1
50,796,32208.21,60,4,25104.46,0.35,6,2,0
51,455,17689.6,60,19,147046.9,0.39,13,0,0
58,666,4513.88,60,22,51505.98,0.02,6,2,0
52,550,21071.82,48,10,106230.39,0.58,6,0,0
18,633,16249.66,60,36,129082.96,0.04,3,0,0
38,810,34178.91,12,21,91585.86,0.09,10,0,0
65,592,30683.18,60,3,39908.79,0.02,1,0,1
23,319,18865.09,24,28,114655.14,0.34,12,0,0
45,581,11676.74,60,33,98032.68,0.56,14,0,1
34,300,49413.76,48,12,115062.58,0.4,4,0,1
22,418,23246.08,24,8,120067.06,0.5,10,0,0
48,334,34725.44,12,30,146803.35,0.02,12,1,1
22,497,7887.1,12,6,94563.23,0.33,6,0,0
55,784,24793.9,36,3,64413.34,0.28,11,0,0
20,358,2349.3,24,18,104300.39,0.3,12,0,0
40,460,25767.3,36,29,28897.29,0.05,10,1,0
54,505,48236.85,24,30,136661.65,0.41,2,1,1
54,311,19826.13,24,34,35519.53,0.31,7,1,1
27,789,2910.8,48,20,62619.57,0.46,7,0,0
27,575,2516.83,36,30,126046.9,0.3,11,0,1
36,541,20011.35,48,18,97650.61,0.1,4,1,1
34,515,8841.22,24,30,71172.62,0.39,4,1,0
38,550,2144.25,12,31,81546.64,0.11,1,0,0
31,425,38054.47,24,1,131091.16,0.52,13,0,1
26,516,23467.63,48,9,64200.57,0.37,2,1,1
63,605,15172.99,36,1,133054.46,0.1,9,0,0
18,484,45104.08,36,1,31457.48,0.58,10,0,1
68,338,6690.81,48,23,120983.8,0.32,8,0,0
62,522,47840.02,36,16,130181.19,0.05,8,0,1
30,483,16384.37,60,31,43636.29,0.38,9,0,0
21,794,44531.78,12,15,75945.05,0.16,7,0,1
18,726,30544.2,12,15,41514.97,0.48,13,0,1
66,477,41508.66,12,38,111858.54,0.49,9,2,1
57,727,49216.64,36,30,89595.21,0.59,10,0,1
49,593,15131.87,36,23,102592.04,0.31,12,1,0
51,450,48095.64,24,0,45543.31,0.28,2,0,1
45,683,20084.61,24,10,47526.96,0.45,6,2,0
48,607,19890.08,12,20,25394.65,0.09,3,1,0
25,635,17678.97,60,3,61868.78,0.33,11,0,0
56,674,27528.97,24,6,92766.81,0.33,6,1,0
43,307,8553.11,24,25,131531.54,0.06,3,0,0
51,640,28131.86,36,11,106700.57,0.26,8,2,0
20,428,27543.54,60,30,76601.52,0.51,11,2,1
67,651,38333.19,12,16,143905.61,0.52,13,0,0
29,657,41848.85,24,32,113501.88,0.07,4,0,1
18,816,22581.63,60,10,140921.48,0.06,12,0,0
61,794,15814.33,60,27,88586.44,0.16,10,0,0
22,385,13707.41,12,31,53657.56,0.53,6,0,1
47,474,10536.57,60,0,26867.47,0.09,9,0,0
47,492,3824.73,60,27,114391.03,0.43,2,0,1
34,610,17779.95,60,6,35769.39,0.07,2,1,0
65,418,14242.14,24,1,59360.77,0.38,7,1,0
64,517,48354.45,12,23,89221.22,0.22,2,0,0
40,726,28327.73,60,3,93374.16,0.48,2,1,0
32,713,18016.57,60,18,98075.82,0.15,4,0,0
54,413,29442.91,24,25,41613.19,0.39,9,1,1
38,444,7820.64,12,10,69365.86,0.15,8,1,0
31,837,22758.14,36,39,100235.25,0.43,2,1,1
19,602,31685.48,24,10,146076.45,0.53,8,1,0
28,644,24955.99,12,2,114592.05,0.08,4,1,0
68,300,20687.16,60,11,139938.49,0.52,2,0,0
56,446,49698.57,12,2,119087.57,0.36,11,1,1
55,586,44135.42,12,26,96923.21,0.08,10,1,1
51,352,31546.89,12,1,44963.04,0.26,7,2,1
55,603,28899.49,36,15,106669.13,0.1,6,0,0
67,368,31412.36,12,1,101039.34,0.42,14,0,1
51,660,10864.29,36,29,98320.99,0.46,10,1,0
35,519,20361.75,60,19,83672.16,0.07,5,0,0
47,460,2933.52,36,37,88725.36,0.31,11,1,0
32,388,24301.76,60,27,63477.53,0.49,1,1,0
44,458,27608.2,60,24,87510.65,0.56,2,0,1
68,788,12159.74,36,31,45682.27,0.31,8,1,0
51,623,48237.41,24,9,124672.67,0.57,1,0,1
69,680,45563.28,48,39,44151.0,0.33,3,1,0
55,401,36385.02,12,32,31045.62,0.24,2,2,1
50,793,27135.94,48,12,76711.98,0.51,5,0,0
41,318,43628.49,12,36,105579.97,0.3,4,1,1
32,753,7401.96,12,15,76903.19,0.29,13,0,0
47,781,39734.98,60,21,55978.04,0.3,7,1,0
59,696,7116.22,12,19,92562.25,0.51,5,1,0
68,578,39916.32,12,26,65110.3,0.5,8,0,1
34,664,14512.61,36,15,141272.8,0.25,4,0,0
22,630,43977.44,48,33,139943.87,0.21,12,2,0
46,643,47258.06,36,31,85308.34,0.3,6,0,1
21,754,8291.0,12,25,62624.92,0.35,4,0,0
27,364,23671.1,60,24,115827.21,0.15,2,0,1
34,375,49068.38,36,1,24772.68,0.48,1,0,1
27,442,24686.96,36,11,81719.97,0.3,14,0,0
34,772,43313.83,24,39,63722.04,0.21,14,1,0
37,716,29847.84,12,8,139669.67,0.07,1,1,1
41,604,19391.17,60,11,21560.39,0.15,8,1,0
22,796,15003.39,36,25,91865.93,0.57,14,0,1
51,590,10957.93,36,8,116286.27,0.19,4,0,1
23,401,38328.11,60,9,83052.34,0.11,5,0,1
19,566,19940.48,12,31,31102.39,0.28,11,0,0
30,302,26052.5,24,33,146419.98,0.19,8,0,1
60,384,25123.95,36,19,87341.36,0.03,12,0,1
60,627,29286.67,24,38,99844.21,0.2,7,1,0
65,749,43413.28,48,1,50759.27,0.33,13,1,0
28,753,49056.23,12,0,82854.75,0.34,8,1,1
68,520,20971.63,48,35,75789.43,0.22,13,0,1
64,453,41548.43,48,23,29736.46,0.27,8,0,0
40,311,38461.86,48,26,33800.85,0.58,6,0,1
33,432,29102.92,12,1,128871.43,0.23,10,0,1
48,603,47846.31,12,30,51176.59,0.16,2,0,0
28,592,10823.25,60,13,45344.58,0.15,6,0,1
33,599,6353.95,24,1,85638.49,0.28,14,1,0
25,342,42844.14,24,28,119937.13,0.46,1,2,1
21,642,22518.34,60,14,28053.05,0.13,1,2,0
57,625,42501.47,60,11,94985.03,0.43,11,0,1
21,797,44761.42,48,36,35497.36,0.02,3,1,1
42,663,4060.42,60,27,24739.94,0.26,3,1,0
20,726,44289.77,36,19,26856.71,0.47,11,0,1
49,320,22967.63,24,38,128441.33,0.21,13,0,1
20,706,26011.19,60,23,35336.42,0.34,5,0,0
44,635,31703.03,36,20,25869.68,0.13,1,2,0
46,416,46392.75,36,9,76926.99,0.45,10,0,1
49,423,1936.69,36,13,129719.15,0.04,6,1,0
67,698,24365.33,36,36,54113.09,0.51,7,0,0
68,350,34698.38,48,17,74822.64,0.13,10,0,1
36,623,36412.64,36,23,25189.93,0.53,12,1,1
38,440,34934.09,48,13,78380.21,0.22,13,0,1
22,769,7587.32,48,33,95089.7,0.44,11,0,0
35,633,15670.38,36,11,94217.92,0.2,3,2,0
45,672,18577.06,24,21,63215.47,0.54,4,0,1
59,793,40417.42,36,5,61019.31,0.08,10,1,0
39,838,14659.23,36,35,33861.07,0.12,11,0,0
38,455,11324.54,36,35,67683.78,0.3,10,0,0
23,590,47914.95,24,21,32934.31,0.06,14,0,1
18,443,1434.3,12,13,119657.47,0.13,12,1,0
22,405,49893.22,12,15,145615.66,0.57,10,1,1
58,719,34164.24,48,35,146109.68,0.59,14,0,1
29,301,41595.0,48,24,132459.24,0.23,10,0,1
43,389,15436.35,24,31,98102.98,0.55,10,2,1
63,644,1701.45,60,32,111112.54,0.33,3,1,0
51,649,37155.61,12,35,57076.75,0.17,1,1,0
66,758,41873.09,48,19,102000.15,0.42,8,1,1
31,562,37283.33,12,17,79234.44,0.4,13,0,1
43,650,7999.66,24,37,82662.25,0.59,10,1,1
62,407,37917.97,24,2,118510.95,0.17,10,0,1
44,338,38677.22,60,22,56649.39,0.41,2,0,1
26,458,33268.49,60,31,61345.15,0.04,1,1,1
43,611,38539.68,24,15,140203.43,0.08,14,0,1
64,540,42450.15,48,4,27309.16,0.01,8,1,1
39,744,31066.6,12,3,83132.46,0.6,7,0,0
64,597,5341.63,36,20,138664.1,0.48,7,1,1
47,335,24893.76,60,39,99347.19,0.47,4,0,0
60,383,4804.82,36,13,91032.92,0.31,11,0,1
65,751,20969.61,48,38,52466.74,0.19,9,1,0
34,684,20948.22,60,30,64625.81,0.1,6,2,0
43,471,4234.48,36,13,130766.29,0.18,2,1,0
53,675,18092.21,48,5,92698.36,0.23,14,0,0
18,661,6438.91,12,11,86916.49,0.46,1,2,0
25,440,40603.53,48,15,32945.36,0.33,1,0,0
66,417,47436.71,60,16,22083.66,0.06,9,0,1
52,576,4543.51,24,22,145279.07,0.02,4,0,0
69,519,47800.65,12,13,69008.2,0.07,5,0,1
32,325,26606.25,36,6,98417.7,0.25,3,0,1
64,820,15678.72,60,31,30362.96,0.56,4,1,0
39,309,4766.24,24,14,108804.86,0.39,12,0,1
31,677,25530.59,48,16,141233.67,0.48,8,2,1
43,451,39931.26,24,33,94836.48,0.29,13,0,1
45,348,35647.24,60,4,36394.99,0.22,4,1,1
40,453,3461.07,60,26,95623.8,0.07,9,0,0
31,592,4572.19,24,22,119625.14,0.53,9,1,1
41,349,20740.79,48,39,72834.15,0.47,6,0,0
19,830,15469.23,24,13,134378.91,0.11,2,0,0
62,359,12386.83,60,14,104328.78,0.31,12,0,1
43,466,14769.22,60,32,136902.36,0.3,10,0,1
31,501,40370.65,36,30,101055.69,0.38,11,1,1
68,445,46532.17,36,34,37067.44,0.57,7,0,1
24,738,20850.03,12,16,60259.92,0.35,9,0,0
20,541,45399.44,60,27,46233.34,0.33,6,1,0
